	APOBEC_N	A_deamin	AdoMet_Mtase	Bin3	DNA_methylase	DREV	EMG1	Fibrillarin	FtsJ	GCD14	Gcd10p	LCM	MT-A70
AMPQE	1	1	1	1	1	1	1	1	1	1	1	1	1
ANOCA	1	1	1	1	1	1	1	1	1	1	1	1	1
CHICK	1	1	1	1	1	1	1	1	1	1	1	1	1
CANLF	1	1	1	1	1	1	1	1	1	1	1	1	1
GORGO	1	1	1	1	1	1	1	1	1	1	1	1	1
HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1
PANTR	1	1	1	1	1	1	1	1	1	1	1	1	1
MONDO	1	1	1	1	1	1	1	1	1	1	1	1	1
MACMU	1	1	0	1	1	1	1	1	1	1	1	1	1
ORNAN	1	1	1	1	1	1	0	1	1	1	1	1	1
MOUSE	1	1	1	1	1	1	1	1	1	1	1	1	1
DANRE	1	1	1	1	1	1	1	1	1	1	1	1	1
TAKRU	1	1	1	1	1	1	1	1	1	1	1	1	1
XENTR	1	1	1	1	1	1	1	1	1	1	1	1	1
CALMI	1	1	1	1	1	1	0	0	1	1	1	1	1
CAEEL	1	1	1	1	0	1	1	1	1	1	1	1	1
PETMA	1	1	1	0	1	1	0	1	1	1	1	1	1
CIOIN	1	1	1	1	1	0	1	1	1	1	1	1	1
NEMVE	1	1	1	1	1	1	1	1	1	1	1	1	1
HYDVU	0	1	1	1	1	1	1	1	1	1	1	1	1
TRIAD	0	1	1	1	1	1	1	1	1	1	1	1	1
BRAFL	0	1	1	1	1	1	0	1	1	1	1	1	1
STRPU	0	1	1	1	1	1	1	1	1	1	1	1	1
CIOSA	0	1	1	1	1	0	1	1	1	1	1	1	1
DROME	0	1	1	1	1	1	1	1	1	1	1	1	1
DICDI	0	1	1	1	1	1	1	1	1	1	1	1	0
MUCC1	0	1	1	1	1	0	1	1	1	1	1	1	1
CHLRE	0	1	0	1	1	0	1	1	1	1	1	1	1
THETB	0	1	1	1	0	1	1	1	1	1	1	0	1
THAPS	0	1	0	1	1	0	1	1	1	1	0	1	0
TRYB2	0	1	0	0	1	1	1	1	1	1	1	1	0
ARATH	0	1	0	1	1	0	1	1	1	1	1	1	1
ORYSJ	0	1	0	1	1	0	1	1	1	1	1	1	1
YEAST	0	1	1	0	0	0	1	1	1	1	1	1	1
TETTS	0	1	0	1	0	0	1	1	1	1	1	1	1
TRIVA	0	1	0	0	0	0	1	1	1	1	0	1	1
PLAF7	0	0	1	1	1	0	1	1	1	1	1	1	1
MONBE	0	0	1	1	1	1	1	1	1	1	1	1	0
BACSU	0	0	0	0	1	0	0	0	1	1	0	1	0
HALVD	0	0	0	0	1	0	0	1	1	1	0	0	0
NATM8	0	0	0	0	1	0	0	1	1	1	0	0	0
METJA	0	0	0	0	1	1	1	1	1	1	0	0	0
SACS2	0	0	0	0	1	0	1	1	1	1	0	0	0
SYNY3	0	0	0	0	1	1	0	1	1	0	0	0	0
CYAM1	0	0	0	0	1	0	1	1	1	1	1	1	1
ECOLI	0	0	0	0	1	0	0	0	1	0	0	0	0
PSEAE	0	0	0	0	0	1	0	0	1	0	0	1	0
THEKO	0	0	0	0	0	0	1	1	1	1	0	0	0
MYCTU	0	0	0	0	0	0	0	0	1	1	0	1	0
