,ptr,ggo,ppy,mml,hsa br M 1,hsa br M 2,hsa br M 3,hsa br M 4,hsa br M 5,hsa br F 1,hsa cb M 1,hsa cb F 1,hsa ht M 2,hsa ht M 1,hsa ht F 1,hsa kd M 1,hsa kd M 2,hsa kd F 1,hsa lv M 1,hsa lv M 2,hsa ts M 1,hsa ts M 2,ptr br M 3,ptr br M 2,ptr br M 5,ptr br M 1,ptr br M 4,ptr br F 1,ptr cb M 1,ptr cb F 1,ptr ht M 1,ptr ht F 1,ptr kd M 1,ptr kd F 1,ptr lv M 1,ptr lv F 1,ptr ts M 1,ppa br M 1,ppa br F 1,ppa br F 2,ppa cb M 1,ppa cb F 1,ppa ht M 1,ppa ht F 1,ppa kd M 1,ppa kd F 1,ppa lv M 1,ppa lv F 1,ppa ts M 1,ggo br M 1,ggo br F 1,ggo cb M 1,ggo cb F 1,ggo ht M 1,ggo ht F 1,ggo kd M 1,ggo kd F 1,ggo lv M 1,ggo lv F 1,ggo ts M 1,ppy br M 1,ppy br F 1,ppy cb F 1,ppy ht M 1,ppy ht F 1,ppy kd M 1,ppy kd F 1,ppy lv M 1,ppy lv F 1,mml br M 2,mml br M 1,mml br F 1,mml cb M 1,mml cb F 1,mml ht M 1,mml ht F 1,mml kd M 1,mml kd F 1,mml lv M 1,mml lv F 1,mml ts M 1,mml ts M 2
ptr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ggo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsa br M 1,,,,,0.9999309601939139,0.9530553878982277,0.8850292222002641,0.8513119127441574,0.8071312505031272,0.9602125639118053,0.894622846494909,0.8034405984795983,0.7407019156914516,0.7598452275950318,0.756755433295943,0.7683653296850442,0.8170791433660772,0.7919855661559785,0.6397670955415801,0.6534118909392427,0.6981640991291673,0.6350615073480812,0.8366748603143505,0.8361050432726792,0.8492913515695147,0.819152664916283,0.8677737667932106,0.7784625226978009,0.7595825517650949,0.719572933631339,0.6326351018860097,0.6681871121701684,0.7516893361331645,0.7783721018528494,0.6634887830210091,0.6806865433873482,0.47124157128426086,0.863888147072609,0.7860056151900999,0.8482272490657539,0.7848927416035165,0.7802409148728958,0.722854497914623,0.6847019811219297,0.8096747162073128,0.7739257280206191,0.6811528265930843,0.6910317260134281,0.45849311297784173,0.8260752202740851,0.8641676691352191,0.7358385865222388,0.7784535127198188,0.7214668851617058,0.711262581041008,0.7152011500154725,0.791549091593301,0.5799752226136039,0.6135999767920989,0.6184361832675602,0.8105306972593873,0.8028138022197941,0.6094717404173116,0.6103539195225824,0.5358610425240188,0.6229239256356851,0.6118663563176453,0.5516389223304549,0.5917172043436065,0.8454622639527125,0.8296699628272936,0.859732770641851,0.7820759045170481,0.7045304509954727,0.7315319887302999,0.7039517778416986,0.7069272446447403,0.7278768298133775,0.6751652274158494,0.7258588861941597,0.41098312081560034,0.44840583156898206
hsa br M 2,,,,,0.952680718854995,0.999993764053189,0.8224503218488702,0.7672307403396922,0.7278900199425427,0.9399042656560178,0.8421290998955908,0.7273173924927591,0.7036988939124632,0.7138324242944724,0.7005602242726863,0.7415334083274197,0.7819283346256769,0.7341946936903284,0.6046003970900042,0.5939225426854156,0.6662772662273287,0.6308620810576804,0.8032404312647163,0.7929309032596898,0.8154667358794433,0.750984902596172,0.8555569279045007,0.7435284853887958,0.6933085974840845,0.6900379205919785,0.6436984448027728,0.6594326291341535,0.7250437017248595,0.7354594876312163,0.5828831310255023,0.5913238346952274,0.48190664411160794,0.8848632678091998,0.7500506240482859,0.8006608735405706,0.7298248643252551,0.7228034547108407,0.6901751018117648,0.6630915474922151,0.7625069260663414,0.7350025629464582,0.6569767484943291,0.6570764903613884,0.43198384182697225,0.7526048905850442,0.8378528924506865,0.6585034427757065,0.7212142903485717,0.6806752440148727,0.6619031936026456,0.7006401340865812,0.7283900996401609,0.5460056865411336,0.5468829324271457,0.634016634459955,0.7733176201548816,0.7630423535847831,0.5598207686586271,0.6080643054871228,0.5649078773563455,0.5859440824815989,0.5586993928952736,0.518826058437509,0.5455022348183493,0.8592340324644594,0.8628926714130434,0.8677997174317931,0.7571266515692073,0.7077315574358101,0.6872883575546297,0.6889280014740548,0.6941318553501771,0.70285654496736,0.5806840321056198,0.6427046734749617,0.40714380298645464,0.4228292511356912
