HGNC	PC1	PC2	Cluster
NSUN5	-0.701226039626337	0.4961169341734488	1
TRMT1	2.259247754218518	-0.18263710220645893	4
QTRT1	-1.163750742831441	-0.34089568299392226	1
CIAO1	-0.47643587962455897	0.37377136131103444	1
TRMT10A	5.687131041030241	-0.8387138235271461	4
EMG1	1.399043678199988	2.0451596106160967	3
METTL17	-0.9128737334274931	-0.0671266239280292	1
HNRNPA2B1	8.828760154473983	4.217067720245727	2
BUD23	0.1958763299887404	0.4130793383186431	1
CDKAL1	0.4983592978250604	-0.9233798443649405	1
OSGEP	0.8801168753368424	1.0505734211612041	3
METTL1	-0.6368813364759423	0.35711601941823135	1
GTPBP3	-1.2805769718834386	-0.14666444070503415	1
RNMT	0.24688346688409407	0.9138350636703962	3
METTL16	0.32917012269891177	0.8672441681022158	3
THG1L	-0.6319898471737095	-0.363126664406164	1
LAGE3	-1.2260751474451297	0.12547743340051454	1
MRM1	-1.447345480862246	-0.2232067937145885	1
ELP5	3.333547735228289	0.3775616020957163	4
TRMT11	-0.9591342950788128	0.45702738573971685	1
ADAT2	-0.24377145588090648	-0.9662054009393072	1
ADARB1	-0.22089691080884322	-0.09980204981213453	1
PUS10	-0.1601380833905536	0.06215995789664334	1
CBLL1	0.7895657493910523	0.4108052768862642	3
METTL2A	-0.14833604193010858	0.28649262927081837	1
FTSJ3	1.0278333095711647	1.2869879415007803	3
NSUN2	3.3546691111048488	-0.6201281541050994	4
DIMT1	-0.6521274267825812	0.21221319028741786	1
METTL6	1.4307886090942326	0.08087629235333817	4
ZC3H13	2.3352167706252698	2.078466218162046	3
ELP3	-0.5125392482234848	-0.05053180147199382	1
METTL3	-0.822506227490567	0.1847520192760004	1
TRMU	-1.092314995535499	-0.09547724223945486	1
NUBP1	0.26687229872313684	-0.08206080735690575	3
TRMT2A	-0.6456238937140774	0.04402388225682074	1
CMTR1	-1.4163674452002288	-0.27927499826197794	1
WDR4	-1.2155609299981525	-0.04873947990181247	1
THUMPD2	-1.4613787146380195	-0.25434410252078404	1
ADAD2	-0.6558704691709774	0.15564486405975123	1
EIF3A	9.948892753846991	-1.7787001093467867	2
TRUB1	-1.3287856613380373	-0.1860804118516153	1
HSD17B10	-1.0852188019092368	0.21703843856719351	1
ISCU	1.3391962764892476	-0.14025055505516215	4
ALKBH8	-0.9936292315819562	-0.1982600977986663	1
